#base "_base_handgun.txt"
#base "_base_shotgun_bolts.txt"

WeaponData
{
	// General
	"printname"   									"#WPN_SHOTGUN_PISTOL"
    "npc_min_engage_range"							"0"
    "npc_max_engage_range"							"1000"
    "npc_min_engage_range_heavy_armor"				"100"
    "npc_max_engage_range_heavy_armor"				"2000"
    "npc_min_range"   								"0"
    "npc_max_range"   								"8000"

    "npc_min_burst"									"1"
    "npc_max_burst"									"1"
    "npc_rest_time_between_bursts_min"				"0.7"
    "npc_rest_time_between_bursts_max"				"1.0"

	"proficiency_poor_spreadscale"					"5.0"
	"proficiency_average_spreadscale" 				"5.0"
	"proficiency_good_spreadscale"					"3.66667"
	"proficiency_very_good_spreadscale"   			"3.66667"

	"viewmodel_offset_ads"							"0 0 0"
	"dof_zoom_nearDepthStart"						"4.750"
	"dof_zoom_nearDepthEnd"							"11.00"
	"dof_nearDepthStart"							"0.0"
	"dof_nearDepthEnd"								"0.0"

	"bolt_hitsize"									"0.5"
	"bolt_hitsize_grow1_time"						"0.055"
	"bolt_hitsize_grow1_size"						"5.0"
	"bolt_hitsize_grow2_time"						"0.18"
	"bolt_hitsize_grow2_size"						"7.5"
	"bolt_hitsize_growfinal_lerptime"				"0.18"
	"bolt_hitsize_growfinal_size"					"7.5"

	// Behavior
	"fire_rate"   									"2.2"
	"reload_time" 									"2.1"
	"reload_time_late1" 							"1.05"
	"reloadempty_time"								"2.6"
	"reloadempty_time_late1"						"1.5"

	// Spread

	"projectile_blast_pattern_zero_distance"        "512.0"
	"projectile_blast_pattern_default_scale"        "1.85"
	"projectile_blast_pattern_npc_scale"            "0.75"  // scales on top of the default

    // for projectile shotguns, set this to the size of the spread pattern at the intended engagement range
	"spread_stand_hip" 								"3.0"
	"spread_stand_hip_run" 							"3.0"
	"spread_stand_hip_sprint"                       "3.0"
	"spread_stand_ads"  							"3.0"
	"spread_crouch_hip"								"3.0"
	"spread_crouch_ads"  							"3.0"
	"spread_air_hip"	   							"3.0"
	"spread_air_ads"   								"3.0"

	"ammo_suck_behavior"							"primary_weapons"

	// View Kick
	"viewkick_spring" 								"shotgun"

	"viewkick_pitch_base" 							"-1.25"
	"viewkick_pitch_random"   						"0.5"
	"viewkick_pitch_softScale"						"1.4"
	"viewkick_pitch_hardScale"						"0.5"

	"viewkick_yaw_base"   							"-0.5"
	"viewkick_yaw_random" 							"0.25"
	"viewkick_yaw_softScale"  						"1.5"
	"viewkick_yaw_hardScale"  						"0.5"

	"viewkick_roll_base"  							"0"
	"viewkick_roll_randomMin" 						"-0.6"
	"viewkick_roll_randomMax" 						"0.8"
	"viewkick_roll_softScale" 						"0.2"
	"viewkick_roll_hardScale" 						"2.75"

	"viewkick_hipfire_weaponFraction" 				"0.1"
	"viewkick_hipfire_weaponFraction_vmScale" 		"0.0"
	"viewkick_ads_weaponFraction" 					"0.1"
	"viewkick_ads_weaponFraction_vmScale" 			"0.0"

	"viewkick_perm_pitch_base" 						"0.0"
	"viewkick_perm_pitch_random"   					"-0.5"

	"viewkick_scale_firstshot_hipfire"		 		"2"
	"viewkick_scale_firstshot_ads"					"0"
	"viewkick_scale_min_hipfire"  					"1.5"
	"viewkick_scale_max_hipfire"  					"2.0"
	"viewkick_scale_min_ads"  						"2.0"
	"viewkick_scale_max_ads"  						"2.5"
	"viewkick_scale_valuePerShot" 					"1.0"
	"viewkick_scale_pitch_valueLerpStart"   		"0"
	"viewkick_scale_yaw_valueLerpStart"   			"0"
	"viewkick_scale_pitch_valueLerpEnd" 			"3"
	"viewkick_scale_yaw_valueLerpEnd" 				"3"
	"viewkick_scale_valueDecayDelay"  				"0.3"
	"viewkick_scale_valueDecayRate"   				"25"

	//
	"viewmodel_shake_forward"						"0.5"
	"viewmodel_shake_up"							"0.2"
	"viewmodel_shake_right"							"0.0"

	// Rumble
	"fire_rumble"									"rumble_pistol_heavy"

	// Zoomed Sway

	"sway_min_yaw_zoomed"							"-0.073"
	"sway_max_yaw_zoomed"							"0.073"
	"sway_turn_left_rotate_yaw_zoomed"				"-0.085"
	"sway_turn_right_rotate_yaw_zoomed"				"0.085"

	"sway_min_roll_zoomed"   						"-4"
	"sway_max_roll_zoomed"   						"4"
	"sway_turn_left_rotate_roll_zoomed"   			"0"
	"sway_turn_right_rotate_roll_zoomed"  			"0"

	// WeaponED Unhandled Key/Values and custom script Key/Values
	"bob_tilt_angle"  								"0.5"
	"sway_turn_angle_factor"  						"-0.5"
	"sway_turn_origin_factor" 						"0"
	"sway_turn_angle_factor_zoomed"   				"0"
	"sway_turn_origin_factor_zoomed"  				"0.05"
	"sway_move_angle_factor"  						"0.15"
	"sway_move_origin_factor" 						"0.15"
	"sway_move_angle_factor_zoomed"   				"0"
	"sway_move_origin_factor_zoomed"  				"0.03"
	"sway_gain"   									"10.0"
	"deployfirst_time"								"1.0"
	"deploycatch_time"								"1.33"
	//setting to "0" so it's tunable in Bakery
	"sprintcycle_time"								"0"

    "clip_bodygroup"						"pstl_sa3_shell"
    "clip_bodygroup_index_shown"			"0"
    "clip_bodygroup_index_hidden"			"1"
    "clip_bodygroup_show_for_milestone_0"	"1"
    "clip_bodygroup_show_for_milestone_1"	"0"
    "clip_bodygroup_show_for_milestone_2"	"0"
    "clip_bodygroup_show_for_milestone_3"	"0"

	Mods
	{
		survival_finite_ammo
        {
            "ammo_default_total"							"0"
            "ammo_stockpile_max"							"12"
        }
	}


	"ui1_enable"		"1"
	"ui1_draw_cloaked"	"1"
	UiData1
	{
		"ui"							"ui/sa3_crosshair"
		"mesh"							"models/weapons/attachments/sa3_rui_upper"
		Args
		{
			vis							player_zoomfrac
		}
	}

	"ui2_enable"		"1"
	UiData2
	{
		"ui"							"ui/sa3_ammo_counter"
		"mesh"							"models/weapons/attachments/sa3_rui_lower"
		Args
		{
			vis							player_zoomfrac
			ammo						weapon_ammo
			clipSize					weapon_clipSize
			clipCount					weapon_ammoClipCount
		}
	}


	active_crosshair_count				"1"
	rui_crosshair_index					"0"

	RUI_CrosshairData
	{
		DefaultArgs
		{
			adjustedSpread				weapon_spread
			adsFrac 					player_zoomFrac
			isSprinting					player_is_sprinting
			isReloading					weapon_is_reloading
			teamColor					crosshair_team_color
			isAmped						weapon_is_amped
		    crosshairMovementX          crosshair_movement_x
		    crosshairMovementY          crosshair_movement_y
		}

		Crosshair_1
		{
			"ui"						"ui/crosshair_tri" //"ui/crosshair_shotgun" //"ui/crosshair_mozambique"
			"base_spread"				"-3.0"
			Args
			{
				isFiring				weapon_is_firing
			}
		}
	}
}
